투자 이름,증권사,금액,자산그룹,통화종류,자산종류
삼성전자,,47320000,주식,원화,위험
ACE 미국배당다우존스,,27415155,국내상장 해외주식,달러,위험
RISE 미국나스닥100,,26753550,국내상장 해외주식,달러,위험
RISE 미국S&P500,,18223140,국내상장 해외주식,달러,위험
SOL 금융지주플러스고배당,,17356650,주식,원화,위험
KODEX 은행,,10473750,주식,원화,위험
한국금융지주우,,8802000,주식,원화,위험
TIGER 미국S&P500,,7174440,국내상장 해외주식,달러,위험
KODEX 증권,,4767600,주식,원화,위험
한국금융지주,,4758000,주식,원화,위험
카카오,,4536000,주식,원화,위험
KODEX 200,,4371400,주식,원화,위험
SK텔레콤,,3564000,주식,원화,위험
TIGER 반도체,,2348805,주식,원화,위험
신한지주,,1222100,주식,원화,위험
SK스퀘어,,1072000,주식,원화,위험
NAVER,,790000,주식,원화,위험
KODEX 27-12 회사채(AA-이상)액티브,,417995,국내 채권,원화,안전
RISE 200,,330675,주식,원화,위험
현대차2우B,,173400,주식,원화,위험
코카콜라,,32844116,해외 주식,달러,위험
INVESCO NASDAQ 100,,19588752,해외 주식,달러,위험
SCHWAB US DIVIDEND EQUITY,,15852840,해외 주식,달러,위험
알파벳 A,,15654624,해외 주식,달러,위험
넥스트에라 에너지,,10944738,해외 주식,달러,위험
VANGUARD S&P 500,,10642797,해외 주식,달러,위험
STATE STREET SPDR PORTFOLIO S&P 500,,9880720,해외 주식,달러,위험
제이피모간 체이스,,9118043,해외 주식,달러,위험
월트 디즈니,,2908660,해외 주식,달러,위험
iShares Global Clean Energy ETF,,614025,해외 주식,달러,위험
퍼스트 발행어음 적립(정액),한국투자증권,30560607,예적금,원화,안전
미국 국채,토스증권,14219616,해외 채권,달러,안전
금 99.99_1kg,한국투자증권,12500400,금,-,안전
ISA특판RP(e)-24시간,한국투자증권,10339452,원화 발행어음/RP,원화,안전
퍼스트 발행어음 특판(e),한국투자증권,10043780,원화 발행어음/RP,원화,안전
한국투자캐피탈131-2,삼성증권,9995853,국내 채권,원화,안전
미국 국채,토스증권,9611628,해외 채권,달러,안전
외화RP(USD)(개인 기간형),한국투자증권,7942139,달러 발행어음/RP,달러,안전
퍼스트 외화 발행어음 약정(USD),한국투자증권,6813567,달러 발행어음/RP,달러,안전
퍼스트 외화 발행어음 약정(USD),한국투자증권,6796980,달러 발행어음/RP,달러,안전
퍼스트 외화 발행어음 약정(USD),한국투자증권,5446433,달러 발행어음/RP,달러,안전
CMA RP,미래에셋증권,4427765,현금,원화,안전
T 0.5 08/31/27,한국투자증권,4115026,해외 채권,달러,안전
퍼스트 외화 발행어음 약정(USD),한국투자증권,3547932,달러 발행어음/RP,달러,안전
T 0.375 09/30/27,한국투자증권,3176243,해외 채권,달러,안전
미국 국채,토스증권,2718046,해외 채권,달러,안전
외화RP(USD)자동매매(개인),한국투자증권,2467172,달러 발행어음/RP,달러,안전
RISE TDF2050액티브 적격,한국투자증권,1876980,주식,원화,위험
T 0.375 07/31/27,한국투자증권,1863025,해외 채권,달러,안전
한국투자 IMA S1,한국투자증권,1027950,예적금,원화,안전
주택금융공사MBS2019-18(1-5)(사),한국투자증권,1003989,국내 채권,원화,안전
한국캐피탈550-2,삼성증권,499502,국내 채권,원화,안전
예적금(직접 입력),,50000000,예적금,원화,안전
현금(직접 입력),,12000000,현금,원화,안전
