투자 이름,증권사,금액
삼성전자,,47320000
ACE 미국배당다우존스,,27415155
RISE 미국나스닥100,,26753550
RISE 미국S&P500,,18223140
SOL 금융지주플러스고배당,,17356650
KODEX 은행,,10473750
한국금융지주우,,8802000
TIGER 미국S&P500,,7174440
KODEX 증권,,4767600
한국금융지주,,4758000
카카오,,4536000
KODEX 200,,4371400
SK텔레콤,,3564000
TIGER 반도체,,2348805
신한지주,,1222100
SK스퀘어,,1072000
NAVER,,790000
KODEX 27-12 회사채(AA-이상)액티브,,417995
RISE 200,,330675
현대차2우B,,173400
코카콜라,,32844116
INVESCO NASDAQ 100,,19588752
SCHWAB US DIVIDEND EQUITY,,15852840
알파벳 A,,15654624
넥스트에라 에너지,,10944738
VANGUARD S&P 500,,10642797
STATE STREET SPDR PORTFOLIO S&P 500,,9880720
제이피모간 체이스,,9118043
월트 디즈니,,2908660
iShares Global Clean Energy ETF,,614025
퍼스트 발행어음 적립(정액),한국투자증권,30560607
미국 국채,토스증권,14219616
금 99.99_1kg,한국투자증권,12500400
ISA특판RP(e)-24시간,한국투자증권,10339452
퍼스트 발행어음 특판(e),한국투자증권,10043780
한국투자캐피탈131-2,삼성증권,9995853
미국 국채,토스증권,9611628
외화RP(USD)(개인 기간형),한국투자증권,7942139
퍼스트 외화 발행어음 약정(USD),한국투자증권,6813567
퍼스트 외화 발행어음 약정(USD),한국투자증권,6796980
퍼스트 외화 발행어음 약정(USD),한국투자증권,5446433
CMA RP,미래에셋증권,4427765
T 0.5 08/31/27,한국투자증권,4115026
퍼스트 외화 발행어음 약정(USD),한국투자증권,3547932
T 0.375 09/30/27,한국투자증권,3176243
미국 국채,토스증권,2718046
외화RP(USD)자동매매(개인),한국투자증권,2467172
RISE TDF2050액티브 적격,한국투자증권,1876980
T 0.375 07/31/27,한국투자증권,1863025
한국투자 IMA S1,한국투자증권,1027950
주택금융공사MBS2019-18(1-5)(사),한국투자증권,1003989
한국캐피탈550-2,삼성증권,499502
