투자 이름,증권사,금액,수량,수익금,수익률
삼성전자,,47320000,182,35479378,299.64%
ACE 미국배당다우존스,,27415155,1821,521255,1.94%
RISE 미국나스닥100,,26753550,885,627180,2.4%
RISE 미국S&P500,,18223140,793,-391195,-2.1%
SOL 금융지주플러스고배당,,17356650,753,3264655,23.17%
KODEX 은행,,10473750,630,4894200,87.72%
한국금융지주우,,8802000,60,5829750,196.14%
TIGER 미국S&P500,,7174440,273,230310,3.32%
KODEX 증권,,4767600,274,-2352990,-33.04%
한국금융지주,,4758000,26,454200,10.55%
카카오,,4536000,135,-2214000,-32.8%
KODEX 200,,4371400,40,3102050,244.38%
SK텔레콤,,3564000,40,492406,16.03%
TIGER 반도체,,2348805,17,823925,54.03%
신한지주,,1222100,11,770600,170.68%
SK스퀘어,,1072000,1,981694,1087.08%
NAVER,,790000,4,-160000,-16.84%
KODEX 27-12 회사채(AA-이상)액티브,,417995,41,3485,0.84%
RISE 200,,330675,3,215535,187.19%
현대차2우B,,173400,1,86700,100.0%
코카콜라,,32844116,271,14287855,77.0%
INVESCO NASDAQ 100,,19588752,48,828424,4.42%
SCHWAB US DIVIDEND EQUITY,,15852840,340,891345,5.96%
알파벳 A,,15654624,32,705011,4.72%
넥스트에라 에너지,,10944738,98,-836134,-7.1%
VANGUARD S&P 500,,10642797,11,753170,7.62%
STATE STREET SPDR PORTFOLIO S&P 500,,9880720,80,-141885,-1.42%
제이피모간 체이스,,9118043,19,860767,10.42%
월트 디즈니,,2908660,20,-1025073,-26.06%
iShares Global Clean Energy ETF,,614025,25,-38632,-5.92%
퍼스트 발행어음 적립(정액),한국투자증권,30560607,,560607,1.87%
미국 국채,토스증권,14219616,,-582026,-3.93%
금 99.99_1kg,한국투자증권,12500400,,-471700,-3.64%
ISA특판RP(e)-24시간,한국투자증권,10339452,,339452,3.39%
퍼스트 발행어음 특판(e),한국투자증권,10043780,,43780,0.44%
한국투자캐피탈131-2,삼성증권,9995853,,-3822,-0.04%
미국 국채,토스증권,9611628,,-213806,-2.18%
외화RP(USD)(개인 기간형),한국투자증권,7942139,,-333921,-4.03%
퍼스트 외화 발행어음 약정(USD),한국투자증권,6813567,,-551433,-7.49%
퍼스트 외화 발행어음 약정(USD),한국투자증권,6796980,,-846020,-11.07%
퍼스트 외화 발행어음 약정(USD),한국투자증권,5446433,,-568767,-9.46%
CMA RP,미래에셋증권,4427765,,3997,0.09%
T 0.5 08/31/27,한국투자증권,4115026,,3993,0.1%
퍼스트 외화 발행어음 약정(USD),한국투자증권,3547932,,-169274,-4.55%
T 0.375 09/30/27,한국투자증권,3176243,,6816,0.22%
미국 국채,토스증권,2718046,,5132,0.19%
외화RP(USD)자동매매(개인),한국투자증권,2467172,,0,0.0%
RISE TDF2050액티브 적격,한국투자증권,1876980,,-125950,-6.29%
T 0.375 07/31/27,한국투자증권,1863025,,4736,0.25%
한국투자 IMA S1,한국투자증권,1027950,,27950,2.8%
주택금융공사MBS2019-18(1-5)(사),한국투자증권,1003989,,8489,0.85%
한국캐피탈550-2,삼성증권,499502,,356,0.07%
